RANK,COMPANY NAME,GROWTH,EMPLOYEES,STATE, REVENUE ,FOUNDED,INDUSTRY
2901,Front & Center Marketing,141,15,CO,5.5 MM,2008,Advertising & Marketing
2915,IST Research,140,26,VA,6.6 MM,2008,Software
2939,33 Realty,139,67,IL,16.9 MM,2008,Real Estate
2945,Key Credit Repair,139,52,MA,4.6 MM,2008,Financial Services
2947,Adept Marketing,138,39,OH,5.2 MM,2008,Advertising & Marketing
2954,Yeager Marketing,138,17,AZ,3.6 MM,2008,Advertising & Marketing
2968,Left Field Labs,137,58,CA,10.2 MM,2008,Business Products & Services
2977,Dashboard Accountants,136,21,UT,2.1 MM,2008,Financial Services
2982,Rocket 55,136,50,MN,4.8 MM,2008,Advertising & Marketing
3004,Cleveland Bricks,135,65,OH,6.2 MM,2008,Real Estate
3026,Advice Media,133,65,UT,10.7 MM,2008,Advertising & Marketing
3040,TriVector Services,132,41,AL,7.0 MM,2008,Government Services
3067,ThinkHR,131,107,CA,15.8 MM,2008,Software
3075,Norman Heating & Air Conditioning,130,20,OK,2.3 MM,2008,Consumer Products & Services
3079,Inoventures,130,60,VA,4.6 MM,2008,Government Services
3125,Pedego Electric Bikes,127,30,CA,16.8 MM,2008,Consumer Products & Services
3130,iQuanti,127,212,NJ,11.0 MM,2008,Advertising & Marketing
3136,Corevist,126,14,NC,3.6 MM,2008,Software
3156,Aerospace Quality Research and Development,125,32,TX,9.0 MM,2008,Engineering
3166,g2 revolution,125,62,IL,15.3 MM,2008,Environmental Services
3169,Sweb Development,124,17,TX,2.3 MM,2008,Advertising & Marketing
3179,Profitoptics,124,14,VA,5.6 MM,2008,Software
3190,Walsingham Group,123,153,NC,8.9 MM,2008,Government Services
3192,Serve First Solutions,123,18,CA,4.2 MM,2008,Financial Services
3222,ZENETEX,122,1075,VA,138.0 MM,2008,Government Services
3233,goTRG,122,1000,FL,163.7 MM,2008,Software
3234,Tucker-Rose Associates,122,70,TX,9.6 MM,2008,IT Management
3235,Thompson Gray,122,128,AL,33.4 MM,2008,Government Services
3244,Ready Wireless,121,139,IA,71.4 MM,2008,Telecommunications
3259,VENZA,121,16,GA,2.0 MM,2008,Security
3263,KCL Engineering,120,32,IA,3.7 MM,2008,Engineering
3264,"FATHOM (Oakland, CA)",120,76,CA,18.9 MM,2008,Manufacturing
3286,Rhythmic Technologies,119,12,VA,2.6 MM,2008,IT Management
3322,Transportation Impact,117,53,NC,21.4 MM,2008,Logistics & Transportation
3329,Sunpro Solar,117,142,LA,28.2 MM,2008,Construction
3336,Confirm Biosciences,117,48,CA,15.5 MM,2008,Health
3339,Perfecta,117,27,VA,6.2 MM,2008,Government Services
3343,Choice Merchant Solutions,116,12,CT,5.0 MM,2008,Financial Services
3357,INFINITI HR,115,34499,MD,371.9 MM,2008,Human Resources
3360,Starnes Media,115,32,AL,3.6 MM,2008,Media
3363,Vigilant Global Trade Services,115,46,OH,4.8 MM,2008,Business Products & Services
3364,Discovery Health Partners,115,202,IL,31.5 MM,2008,Health
3370,Affinity Group Management,115,79,MO,49.2 MM,2008,Real Estate
3407,Nomadness,112,12,CA,3.2 MM,2008,Travel & Hospitality
3440,SageRider,111,125,TX,44.7 MM,2008,Energy
3447,Newport Network Solutions,111,18,WI,3.0 MM,2008,Telecommunications
3471,Onset Financial,109,75,UT,46.9 MM,2008,Financial Services
3497,Gold Standard of Care,108,8,FL,2.0 MM,2008,Real Estate
3513,Highwire Public Relations,107,81,CA,17.0 MM,2008,Advertising & Marketing
3522,Primoprint,107,62,NC,7.9 MM,2008,Business Products & Services
3546,SRS Distribution,106,3132,TX,2183.8 MM,2008,Consumer Products & Services
3558,Beyond Codes,106,245,CA,4.2 MM,2008,Advertising & Marketing
3597,Elite Roofing,104,35,CO,11.9 MM,2008,Construction
3611,"Zinda Law Group, PLLC",103,52,TX,8.6 MM,2008,Business Products & Services
3617,CANDA Solutions,103,30,MD,3.1 MM,2008,Software
3621,Ascendance Digital Media,103,12,WA,4.7 MM,2008,Advertising & Marketing
3625,True Builders,103,44,FL,7.6 MM,2008,Construction
3641,Jorgenson Builders,102,12,UT,3.3 MM,2008,Construction
3647,United Wall Systems,102,60,FL,18.7 MM,2008,Construction
3648,Deep Well Services,102,189,PA,54.8 MM,2008,Energy
3669,Woolley Robertson Group,101,36,CA,6.2 MM,2008,Software
3699,Mobile Solutions,100,65,CO,7.9 MM,2008,Software
3700,DLA+ Architecture & Interior Design,100,33,PA,8.9 MM,2008,Engineering
3737,Magellan Jets,98,35,MA,38.0 MM,2008,Travel & Hospitality
3739,Before The Movie,98,20,CA,6.3 MM,2008,Advertising & Marketing
3747,Dane Street,98,188,MA,41.9 MM,2008,Health
3756,ALKU,98,126,MA,136.9 MM,2008,Human Resources
3763,HHAeXchange,97,237,NY,18.3 MM,2008,Health
3770,Compass Self Storage,97,181,OH,57.0 MM,2008,Logistics & Transportation
3775,CONTI,96,103,TX,49.2 MM,2008,Real Estate
3777,Sabre88,96,60,NJ,5.0 MM,2008,Government Services
3789,BBI Autosport,96,9,CA,2.4 MM,2008,Engineering
3794,Poll Everywhere,96,54,CA,9.0 MM,2008,Software
3798,Oakworth Capital Bank,96,80,AL,24.9 MM,2008,Financial Services
3802,37th Parallel Properties,96,10,VA,3.0 MM,2008,Real Estate
3803,WebPT,96,279,AZ,47.9 MM,2008,Software
3819,PNH Technology,95,15,CA,16.4 MM,2008,Computer Hardware
3823,SEI-Dallas,95,9,TX,2.0 MM,2008,Business Products & Services
3835,GRIT Technologies,94,18,MI,2.5 MM,2008,IT Management
3836,OneSource Virtual,94,864,TX,122.7 MM,2008,Business Products & Services
3840,NAI Benchmark,94,15,CA,3.0 MM,2008,Real Estate
3865,Chartis Federal,93,61,VA,15.4 MM,2008,Government Services
3874,Roadway Moving Company,92,150,NY,17.0 MM,2008,Consumer Products & Services
3875,Driven Products,92,6,WA,2.6 MM,2008,Retail
3882,Protelo,92,33,CA,9.0 MM,2008,Software
3894,PlayMaker Health,92,45,TN,8.2 MM,2008,Software
3904,LSINC,91,55,AL,8.7 MM,2008,Government Services
3936,IntellecTechs,90,213,VA,7.4 MM,2008,IT Management
3943,Concierge Auctions,90,78,NY,34.3 MM,2008,Real Estate
3949,Apex HCM,90,47,GA,8.7 MM,2008,Software
3950,Abacus Group,90,109,NY,23.3 MM,2008,IT Management
3978,Black Clover Enterprises,89,25,UT,10.2 MM,2008,Consumer Products & Services
3991,Tigerchef.com,89,26,NY,10.6 MM,2008,Consumer Products & Services
3992,Fora Financial,89,106,NY,50.8 MM,2008,Financial Services
4002,Equity Prime Mortgage,88,350,GA,46.3 MM,2008,Financial Services
4018,Sunset West,88,30,CA,11.1 MM,2008,Consumer Products & Services
4020,Titan Protection and Consulting,88,320,KS,8.3 MM,2008,Security
4046,Star Building Services,87,176,TX,2.6 MM,2008,Business Products & Services
4081,The Abbi Agency,85,28,NV,3.4 MM,2008,Advertising & Marketing
4100,Global Value Add,85,34,TX,5.4 MM,2008,Business Products & Services
4108,24Hr HomeCare,85,274,CA,71.3 MM,2008,Health
4139,Dynamis,84,127,VA,23.4 MM,2008,Government Services
4179,OPAV,82,40,FL,6.1 MM,2008,Media
4192,COUNSELMAN AUTOMOTIVE RECYCLING,82,65,AL,12.6 MM,2008,Consumer Products & Services
4195,City Winery,82,1100,NY,52.6 MM,2008,Food & Beverage
4202,Donaldson Plastic Surgery,81,11,OH,3.5 MM,2008,Health
4206,UNIQUE System Skills,81,52,NH,2.7 MM,2008,Education
4249,Exterior Medics,80,33,VA,11.7 MM,2008,Construction
4286,DynamiCard Plastic Postcards & Analytics,78,17,CA,12.1 MM,2008,Advertising & Marketing
4289,Business IT Source,78,50,IL,82.1 MM,2008,Computer Hardware
4294,Avenue Code,78,300,CA,27.7 MM,2008,Software
4338,Fingerpaint,77,170,NY,36.0 MM,2008,Advertising & Marketing
4342,Right height Manufacturing,77,8,NH,3.3 MM,2008,Manufacturing
4349,National Care Advisors,76,21,OH,3.1 MM,2008,Health
4373,Victory Marketing Agency,76,10,FL,5.7 MM,2008,Advertising & Marketing
4376,Tyler Petroleum,76,175,TX,39.9 MM,2008,Retail
4392,New Penn Financial,75,1225,PA,309.8 MM,2008,Financial Services
4403,Small Business Expo,75,21,NY,4.5 MM,2008,Business Products & Services
4407,Maxim Management Group,75,237,TX,17.3 MM,2008,Health
4408,Bell Media,75,34,AL,6.0 MM,2008,Advertising & Marketing
4416,Hiatus Spa + Retreat,75,186,TX,7.2 MM,2008,Consumer Products & Services
4425,Smart Chemical Services,74,91,TX,60.1 MM,2008,Energy
4431,Epicosity,74,27,SD,4.9 MM,2008,Advertising & Marketing
4438,MD Connect,74,23,MA,6.7 MM,2008,Advertising & Marketing
4440,Vector Media Group,74,35,NY,9.3 MM,2008,Advertising & Marketing
4443,Blue Corona,74,47,MD,7.5 MM,2008,Advertising & Marketing
4448,The Event Studio,74,18,NV,2.4 MM,2008,Business Products & Services
4473,Innovative Business Solutions,73,12,CO,6.6 MM,2008,Telecommunications
4495,Corefact,73,70,CA,15.9 MM,2008,Advertising & Marketing
4503,Colonial Assisted Living,73,231,FL,11.5 MM,2008,Health
4523,Special Operations Solutions,72,28,VA,10.4 MM,2008,Government Services
4547,H&F Bread Company,71,149,GA,7.9 MM,2008,Food & Beverage
4558,ten24,71,22,MA,2.4 MM,2008,Software
4598,Wright Physical Therapy,70,47,ID,5.7 MM,2008,Health
4609,Kingsview Assest Managment,69,17,OR,6.9 MM,2008,Financial Services
4624,Midwest Restoration,69,18,WI,3.6 MM,2008,Construction
4625,Minute Key,69,230,CO,39.2 MM,2008,Consumer Products & Services
4629,Graphics and More,69,25,CA,4.6 MM,2008,Retail
4631,30 Point Strategies,68,13,MD,3.9 MM,2008,Advertising & Marketing
4657,MuniciPAY,68,8,ME,3.9 MM,2008,Government Services
4668,Endurance IT Services,67,45,VA,8.2 MM,2008,IT Management
4680,NJI Media,67,25,VA,4.8 MM,2008,Advertising & Marketing
4687,Honey-Can-Do International,67,160,IL,81.7 MM,2008,Consumer Products & Services
4690,G2 Consultants,67,7,OR,3.6 MM,2008,Environmental Services
4720,Parrot Bay Pools and Spas,66,11,NC,2.2 MM,2008,Construction
4725,Connexa Energy,66,35,TX,6.1 MM,2008,Energy
4728,Nanotronics Imaging,66,56,NY,4.8 MM,2008,Manufacturing
4764,Integrity Services,64,110,MA,15.2 MM,2008,Business Products & Services
4789,Beyond SIGNs,64,14,GA,5.6 MM,2008,Energy
4810,Five Pack Creative,63,50,TX,6.3 MM,2008,Software
4812,ScholarBuys,63,13,IL,22.1 MM,2008,Education
4823,Warehouse-Lighting Com,63,15,WI,10.3 MM,2008,Manufacturing
4825,SnapEngage,62,33,CO,5.9 MM,2008,Software
4827,New Vision Properties,62,31,DC,4.2 MM,2008,Real Estate
4834,Palm Coast Sales,62,18,FL,19.1 MM,2008,Consumer Products & Services
4849,No Limit Agency,62,29,IL,5.7 MM,2008,Advertising & Marketing
4858,Encompass Lending Group,62,67,TX,6.2 MM,2008,Financial Services
4890,Supportworks,61,78,NE,69.9 MM,2008,Manufacturing
4892,LDV Hospitality Management,61,2000,NY,76.7 MM,2008,Food & Beverage
4943,EnTouch Controls,59,41,TX,5.4 MM,2008,Energy
4952,Saxon Global,59,488,TX,21.6 MM,2008,IT System Development
4958,Fireside21,59,19,DC,3.7 MM,2008,Software
4985,TargetRecruit,58,53,TN,2.8 MM,2008,IT System Development
4994,"Flow Right Plumbing, Heating, & Irrigation",57,47,CO,4.2 MM,2008,Construction
58,Momentum Solar,"4,617",606,NJ,107.5 MM,2009,Energy
73,Mountain State Software Solutions,"4,244",42,WV,7.7 MM,2009,IT System Development
160,ExcelHealth,"2,652",7,TX,4.5 MM,2009,Health
161,Rebellion Photonics,"2,647",25,TX,5.5 MM,2009,Energy
213,Chef's Cut Real Jerky,"2,165",30,NY,31.0 MM,2009,Food & Beverage
249,Gotcha Media Holdings,"1,955",43,SC,6.3 MM,2009,Advertising & Marketing
266,Cetechs,"1,827",44,AZ,6.6 MM,2009,Government Services
273,BarnAllen Technologies,"1,815",389,MD,54.5 MM,2009,Government Services
281,iProcedures,"1,741",35,FL,10.5 MM,2009,Health
284,Alkami Technology,"1,724",299,TX,26.8 MM,2009,Software
313,SmartBiz Loans,"1,573",101,CA,23.6 MM,2009,Financial Services
324,Saprex,"1,518",5,NC,4.6 MM,2009,Engineering
339,HIDEit Mounts,"1,465",10,NV,2.3 MM,2009,Consumer Products & Services
341,Discount Power Texas,"1,459",48,TX,148.8 MM,2009,Energy
367,Chacka Marketing,"1,361",30,FL,14.8 MM,2009,Advertising & Marketing
405,CleanFund,"1,235",30,CA,5.7 MM,2009,Financial Services
431,Natural Force,"1,161",8,FL,3.4 MM,2009,Food & Beverage
445,Tech-Keys,"1,144",45,NJ,9.5 MM,2009,IT Management
446,Zenith Engineers,"1,137",16,CA,2.2 MM,2009,Engineering
499,Quimbee,"1,020",16,NC,5.1 MM,2009,Education
541,G2S,927,167,TX,14.9 MM,2009,Government Services
566,Xcaliber Solutions,896,12,CA,8.5 MM,2009,Business Products & Services
591,Reliance Partners,848,65,TN,5.2 MM,2009,Insurance
595,NanaMacs Boutique,845,22,ID,6.3 MM,2009,Retail
596,Apptivo,840,250,CA,2.4 MM,2009,Software
600,Aplos Software,836,35,CA,2.6 MM,2009,Software
638,Spring Venture Group,791,410,MO,67.0 MM,2009,Insurance
641,o9 Solutions,785,154,TX,24.0 MM,2009,Software
645,Concourse Federal Group,781,32,DC,4.6 MM,2009,Government Services
651,Whois API,775,5,CA,2.7 MM,2009,Business Products & Services
675,The Hilb Group,742,667,VA,113.7 MM,2009,Insurance
681,RER Energy Group,738,15,PA,21.2 MM,2009,Energy
684,SANTE Realty Investments,733,72,AZ,13.1 MM,2009,Real Estate
689,Aldevra,730,9,MI,6.6 MM,2009,Government Services
719,Chatmeter,692,59,CA,6.3 MM,2009,Business Products & Services
728,Truveris,685,118,NY,28.3 MM,2009,Health
755,Stone Tower Winery,668,118,VA,8.8 MM,2009,Food & Beverage
810,Worth Clark Realty,622,32,MO,12.5 MM,2009,Real Estate
813,Spangler Restoration,620,95,NC,22.9 MM,2009,Construction
818,Xero Shoes,617,21,CO,5.5 MM,2009,Consumer Products & Services
821,TapClicks,616,80,CA,10.3 MM,2009,Advertising & Marketing
838,Palmetto Solar,598,65,SC,9.3 MM,2009,Energy
860,Welltok,584,443,CO,68.8 MM,2009,Health
861,Zulu Marketing,583,45,UT,11.8 MM,2009,Consumer Products & Services
880,Base4,570,230,FL,7.8 MM,2009,Engineering
893,Whiplash Merchandising,558,15,MI,13.9 MM,2009,Business Products & Services
901,Evoke Brand Strategies,550,35,WI,3.9 MM,2009,Advertising & Marketing
902,Invoice Cloud,550,141,MA,31.2 MM,2009,Software
908,Thank God It's Natural,547,21,IL,2.6 MM,2009,Manufacturing
909,eduPresent,545,47,CO,4.0 MM,2009,Education
911,Votto Vines Importing,542,20,CT,40.3 MM,2009,Food & Beverage
912,Tango Card,542,80,WA,17.0 MM,2009,Software
932,WealthForge,531,29,VA,8.9 MM,2009,Financial Services
940,Integrated Biometrics,527,41,SC,6.8 MM,2009,Security
949,Kelapo,521,33,FL,11.4 MM,2009,Food & Beverage
950,GLOBO,521,40,PA,13.1 MM,2009,Business Products & Services
956,Dirty Robber,518,1200,CA,15.8 MM,2009,Media
961,Allegheny Science & Technology,515,200,WV,48.8 MM,2009,Government Services
969,Apex Appraisal Service,511,46,CA,23.1 MM,2009,Real Estate
984,Utelogy,499,25,CA,3.0 MM,2009,Software
997,Proximity Learning,494,140,TX,5.7 MM,2009,Education
999,Rational Interaction,493,260,WA,55.5 MM,2009,Advertising & Marketing
1001,McKnight Consulting Group,492,11,TX,2.2 MM,2009,Business Products & Services
1065,A-LIGN,462,150,FL,20.7 MM,2009,Business Products & Services
1069,OneStream Software,461,164,MI,42.3 MM,2009,Software
1081,Two Bulls,458,33,NY,7.5 MM,2009,Software
1084,Anson Belt & Buckle,456,3,SC,2.7 MM,2009,Consumer Products & Services
1089,Smoking Vapor,454,31,AZ,6.8 MM,2009,Consumer Products & Services
1104,Jahnel Group,448,50,NY,4.2 MM,2009,Software
1123,Axiologic Solutions,439,70,VA,19.2 MM,2009,Government Services
1130,Blue Label Labs,436,10,NY,3.2 MM,2009,Software
1179,Vaughan Buckley Construction,410,12,PA,5.1 MM,2009,Construction
1194,Fresh Prints,405,22,NY,4.2 MM,2009,Retail
1216,1st Choice Construction Management,397,25,NC,10.2 MM,2009,Construction
1239,Savewize Wholesale Distribution,392,10,NJ,7.2 MM,2009,Consumer Products & Services
1242,Stability Healthcare,390,141,CA,19.4 MM,2009,Health
1244,The Credit Pros,389,59,NJ,10.3 MM,2009,Financial Services
1248,Bowa Construction,388,25,IL,25.0 MM,2009,Construction
1252,Future Energy Solutions,387,70,FL,6.5 MM,2009,Business Products & Services
1254,Symmetry Financial Group,386,44,NC,30.5 MM,2009,Insurance
1255,ARC Risk and Compliance,386,21,NJ,4.5 MM,2009,Financial Services
1275,Origaudio,379,40,CA,18.9 MM,2009,Consumer Products & Services
1276,Advanced Computer Solutions Group,379,20,NJ,2.4 MM,2009,IT Management
1295,Axis Global Enterprises,369,35,VA,11.6 MM,2009,Government Services
1348,Hoosier Hill Farm,355,24,IN,6.4 MM,2009,Food & Beverage
1353,Tundraland Home Improvements,352,187,WI,37.4 MM,2009,Construction
1355,Fitz's Fish Ponds,350,20,NJ,2.1 MM,2009,Construction
1361,Oodle,348,24,OH,5.5 MM,2009,Advertising & Marketing
1365,Radley Staffing,347,2064,TX,15.6 MM,2009,Human Resources
1387,Little Passports,341,41,CA,23.6 MM,2009,Consumer Products & Services
1391,Adpearance,341,167,OR,14.2 MM,2009,Advertising & Marketing
1416,Level 11,333,67,WA,28.5 MM,2009,Software
1436,Full Circle Home,325,12,NY,9.5 MM,2009,Consumer Products & Services
1444,Zerto,324,700,MA,84.0 MM,2009,IT Management
1447,Shaw + Scott,323,73,WA,10.7 MM,2009,Advertising & Marketing
1450,Income Store,322,75,IL,28.0 MM,2009,Business Products & Services
1454,GreenBanana SEO,321,17,MA,5.2 MM,2009,Advertising & Marketing
1460,Equiscript,320,68,SC,6.1 MM,2009,Health
1465,Prolific Interactive,319,100,NY,18.2 MM,2009,Advertising & Marketing
1474,YCharts,318,40,IL,5.5 MM,2009,Software
1496,National Tax Group,315,10,FL,2.5 MM,2009,Engineering
1513,Origami Risk,310,183,IL,47.1 MM,2009,Software
1514,Xtreme Park Adventures,310,30,NC,2.1 MM,2009,Consumer Products & Services
1518,ValuD Consulting,310,227,TX,14.4 MM,2009,IT Management
1542,Enviro-Master International Franchise,305,54,NC,16.8 MM,2009,Business Products & Services
1561,King Memory,301,67,OH,18.7 MM,2009,Computer Hardware
1573,Madwire,296,485,CO,72.5 MM,2009,Advertising & Marketing
1576,The K Company Realty,296,10,FL,21.7 MM,2009,Real Estate
1577,Community Veterinary Partners,296,1105,PA,85.9 MM,2009,Health
1581,Moore Solar / Heating / Cooling,296,105,CA,22.3 MM,2009,Construction
1582,Lake Homes Realty,295,110,AL,11.6 MM,2009,Real Estate
1583,Appreciation Financial,295,21,NV,22.0 MM,2009,Financial Services
1596,SaaSOptics,292,33,GA,2.5 MM,2009,Software
1598,iAffiliate Management,292,15,MN,2.2 MM,2009,Advertising & Marketing
1611,Lumber One Services,289,10,AZ,26.3 MM,2009,Construction
1616,Unosquare,287,403,OR,20.5 MM,2009,IT System Development
1629,MaxGen Energy Services,284,155,CA,42.4 MM,2009,Energy
1640,Fracture,282,42,FL,7.7 MM,2009,Consumer Products & Services
1648,Everpark,280,47,CA,2.1 MM,2009,Business Products & Services
1660,Food52,278,70,NY,22.7 MM,2009,Retail
1668,Crisp Marketing,275,50,TN,6.5 MM,2009,Advertising & Marketing
1686,Cross Renovation,273,7,MI,11.4 MM,2009,Construction
1705,Ecko Worldwide Transportation,268,35,CA,3.4 MM,2009,Consumer Products & Services
1716,Pipaya Partners,266,10,VA,3.9 MM,2009,Financial Services
1724,Maximum Games,265,52,CA,40.7 MM,2009,Media
1730,Broadleaf,264,70,VA,5.7 MM,2009,IT Management
1735,Ranker,263,68,CA,22.0 MM,2009,Media
1737,Sterling Johnston Real Estate,263,17,WA,13.3 MM,2009,Real Estate
1741,IronMountain Solutions,260,153,AL,30.0 MM,2009,Government Services
1776,Contract Exteriors,255,92,SC,26.8 MM,2009,Construction
1779,Case Snow Management,255,435,MA,36.0 MM,2009,Business Products & Services
1787,Your Location Lubrication,253,77,FL,7.1 MM,2009,Business Products & Services
1788,The ASK Method Company,252,37,TX,6.3 MM,2009,Education
1789,Cabinets.com,252,49,FL,27.7 MM,2009,Retail
1791,Matt Curtis Real Estate,252,40,AL,3.8 MM,2009,Real Estate
1801,Laurel Road,250,181,CT,54.0 MM,2009,Financial Services
1831,gBuild Construction Managers,246,8,PA,14.6 MM,2009,Construction
1842,Bolt On Technology,244,44,PA,6.5 MM,2009,Software
1851,Vectornate USA,243,15,NJ,6.9 MM,2009,Manufacturing
1872,GRAYBOX,240,31,OR,6.1 MM,2009,Advertising & Marketing
1893,Dynamic Pricing Partners,237,3,NY,14.2 MM,2009,Retail
1894,Four Foods Group,237,3805,UT,142.6 MM,2009,Food & Beverage
1905,CFOL International,235,38,GA,4.4 MM,2009,Government Services
1921,TekCommands,233,28,MI,3.7 MM,2009,IT System Development
1937,Luke's Lobster,231,293,NY,49.8 MM,2009,Food & Beverage
1940,Tallwave,231,61,AZ,8.0 MM,2009,Business Products & Services
1954,Real Thread,229,50,FL,7.9 MM,2009,Consumer Products & Services
1989,Behavioral Health Works,225,850,CA,20.9 MM,2009,Health
1993,Level 2 Legal Solutions,224,117,TX,10.1 MM,2009,Business Products & Services
2029,Cambridge Network,220,380,MA,51.0 MM,2009,Education
2034,DA Defense Logistics HQ,219,375,TX,27.0 MM,2009,Logistics & Transportation
2037,Vert Digital,219,30,GA,9.4 MM,2009,Advertising & Marketing
2049,AG Consulting Partners,217,32,WA,5.2 MM,2009,Business Products & Services
2062,Xyngular,216,120,UT,103.0 MM,2009,Health
2076,Weby,214,48,TX,40.0 MM,2009,Retail
2101,PresPro Homes,212,28,NC,5.9 MM,2009,Construction
2104,Jornaya,211,79,PA,13.4 MM,2009,Software
2110,Jeunesse Global,210,825,FL,1300.7 MM,2009,Consumer Products & Services
2111,TripShock,210,25,FL,7.6 MM,2009,Travel & Hospitality
2126,Quick Space,209,59,NV,9.2 MM,2009,Construction
2132,Smart 1 Marketing,208,26,OH,5.1 MM,2009,Advertising & Marketing
2137,Amati Auto Group,208,15,NH,6.7 MM,2009,Retail
2139,BrandYourself.com,208,91,NY,6.1 MM,2009,Software
2146,Futuri Media,207,50,OH,14.7 MM,2009,Software
2153,Upside Innovations,206,39,OH,8.1 MM,2009,Manufacturing
2157,Transparent BPO,206,820,MD,16.0 MM,2009,Business Products & Services
2170,On The Map Marketing,205,57,FL,3.2 MM,2009,Advertising & Marketing
2195,Durante Rentals,201,100,NY,30.8 MM,2009,Construction
2215,Greenphire,199,154,PA,24.4 MM,2009,Software
2221,StaffRehab,199,19,CA,7.8 MM,2009,Education
2222,Trinamix,199,250,CA,20.2 MM,2009,Software
2225,QC Manufacturing,198,85,CA,17.7 MM,2009,Manufacturing
2235,Brandito,197,13,VA,3.8 MM,2009,Advertising & Marketing
2273,eLearningBrothers,194,110,UT,9.3 MM,2009,Software
2288,Home Base Appraisal Management,192,41,UT,11.9 MM,2009,Real Estate
2304,Nootie,190,10,FL,7.2 MM,2009,Consumer Products & Services
2309,W Services Group,190,295,NY,34.9 MM,2009,Business Products & Services
2313,Vesta Preferred,189,25,IL,2.5 MM,2009,Real Estate
2318,Akervall Technologies,188,26,MI,4.5 MM,2009,Retail
2325,Tangentia,188,15,DE,2.1 MM,2009,IT System Development
2337,Turbonomic,186,500,MA,71.9 MM,2009,Software
2354,Greenback Tax Services,184,8,MI,3.4 MM,2009,Financial Services
2373,Healthy Harvest,183,7,FL,6.4 MM,2009,Retail
2374,Maantic,183,70,CA,14.1 MM,2009,IT System Development
2378,Ovative Group,183,125,MN,18.4 MM,2009,Advertising & Marketing
2381,Pacific Energy Concepts,182,31,WA,23.3 MM,2009,Energy
2400,Yochana IT Solutions,180,400,MI,61.8 MM,2009,Human Resources
2409,Surefire Local,180,165,VA,9.5 MM,2009,Advertising & Marketing
2411,Formulife,179,94,TX,23.6 MM,2009,Health
2422,Contango IT,178,11,NY,2.0 MM,2009,IT System Development
2435,Lifestyle Publications,178,27,MO,14.3 MM,2009,Media
2437,Argotrak,177,10,FL,3.2 MM,2009,Business Products & Services
2443,Karsun Solutions,177,181,VA,36.8 MM,2009,Government Services
2469,Ben Kinney Companies,175,26,WA,125.7 MM,2009,Real Estate
2485,Freerateupdate.com,173,36,PA,17.3 MM,2009,Advertising & Marketing
2489,How To Manage A Small Law Firm,173,25,FL,8.4 MM,2009,Business Products & Services
2490,Launch Leads,173,35,UT,2.4 MM,2009,Business Products & Services
2497,Abstrakt Marketing Group,172,235,MO,19.5 MM,2009,Advertising & Marketing
2501,TPI Efficiency,172,39,OH,6.6 MM,2009,Business Products & Services
2503,ChartWise Medical Systems,172,27,RI,6.3 MM,2009,Health
2514,Sportique,170,15,CA,5.9 MM,2009,Retail
2521,MoTek Technologies,170,10,CA,2.1 MM,2009,Software
2540,RealJoy Vacations,168,43,FL,7.6 MM,2009,Real Estate
2541,Pure Solutions,168,31,MA,2.3 MM,2009,Consumer Products & Services
2548,Lightspeed Voice,168,28,FL,3.8 MM,2009,Telecommunications
2555,Stored Technology Solutions,167,40,NY,6.6 MM,2009,IT Management
2557,Extraordinary Journeys,167,23,NY,13.7 MM,2009,Travel & Hospitality
2562,Momentum Factor,166,13,TX,3.3 MM,2009,Software
2583,S2 IT Group,165,62,GA,6.1 MM,2009,Software
2594,Dental Warranty,164,11,TX,3.5 MM,2009,Health
2600,Ready Power,164,15,LA,4.1 MM,2009,Construction
2632,CIOsynergy,161,24,IL,9.3 MM,2009,Business Products & Services
2633,Energy 1,161,56,MT,8.3 MM,2009,Energy
2638,Benzer Pharmacy,160,447,FL,231.7 MM,2009,Health
2644,Dynamics Resources,160,38,IL,6.5 MM,2009,IT System Development
2655,Genomind,159,101,PA,16.2 MM,2009,Health
2656,The Senne Company,159,40,MA,2.6 MM,2009,Real Estate
2660,Solect Energy,158,79,MA,40.2 MM,2009,Energy
2702,Budget Dumpster,155,102,OH,51.5 MM,2009,Environmental Services
2726,Pendo Management,153,36,MO,23.8 MM,2009,Financial Services
2734,capSpire,152,95,AR,23.6 MM,2009,Financial Services
2740,Monolith Solar,152,129,NY,28.5 MM,2009,Energy
2756,Convert IT Marketing,151,38,FL,7.7 MM,2009,Advertising & Marketing
2757,T3 Expo,150,120,MA,49.4 MM,2009,Business Products & Services
2787,Air Filter Factory,148,17,OH,2.6 MM,2009,Retail
2793,Nationwide Transport Services,148,60,FL,11.5 MM,2009,Logistics & Transportation
2813,Relationship One,147,60,MN,7.2 MM,2009,Advertising & Marketing
2815,BuyBackWorld,146,26,NY,9.5 MM,2009,Consumer Products & Services
2827,FirstLight HomeCare Franchising,146,26,OH,6.6 MM,2009,Health
2828,Progressive Dental,146,53,FL,10.8 MM,2009,Advertising & Marketing
2830,Swampfox Technologies,146,42,SC,9.9 MM,2009,Telecommunications
2840,North Point Outdoors,145,48,NH,5.5 MM,2009,Construction
2842,Hotel Effectiveness Solutions,145,21,GA,2.1 MM,2009,Software
2849,Activate Healthcare,144,291,IN,32.0 MM,2009,Health
2854,Solar Solution,144,42,DC,16.8 MM,2009,Energy
2872,Ecogistics,143,17,IL,8.7 MM,2009,Logistics & Transportation
